bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/samples_so_far,bc/ent_loss,bc/batch,bc/loss,bc/l2_norm,batch_size,bc/neglogp
0,4.256815433502197,0.05332330986857414,0.0,32,-0.004256815649569035,0,2.9457201957702637,672.5001220703125,32,2.949976921081543
0,2.752401351928711,0.2613234519958496,0.0,16032,-0.002752401400357485,500,1.3438055515289307,888.2478637695312,32,1.3465579748153687
1,1.3629097938537598,0.9554048180580139,0.0,32032,-0.0013629099121317267,1000,0.09455816447734833,1122.7181396484375,32,0.09592107683420181
2,0.13712537288665771,2.3639960289001465,0.0,48032,-0.00013712537474930286,1500,-0.6156949400901794,1368.264892578125,32,-0.6155577898025513
3,-0.8839879035949707,5.9783101081848145,0.0,64032,0.0008839879301376641,2000,-1.4417527914047241,1602.56884765625,32,-1.4426367282867432
4,-1.7342135906219482,17.846710205078125,0.0,80032,0.0017342136707156897,2500,-2.4528090953826904,1832.8662109375,32,-2.454543352127075
5,-2.4693775177001953,30.63069725036621,0.0,96032,0.0024693775922060013,3000,-2.1110880374908447,2025.23681640625,32,-2.1135573387145996
6,-3.1378726959228516,75.712646484375,0.0,112032,0.003137872787192464,3500,-4.216609001159668,2204.946044921875,32,-4.219747066497803
7,-3.7613115310668945,118.710205078125,0.0,128032,0.003761311760172248,4000,-4.5723981857299805,2361.62939453125,32,-4.576159477233887
8,-4.344699382781982,181.07232666015625,0.0,144032,0.004344699438661337,4500,-4.528524875640869,2498.05126953125,32,-4.532869338989258
9,-4.880424499511719,379.7258605957031,0.0,160032,0.004880424588918686,5000,-5.6051344871521,2637.121826171875,32,-5.610014915466309
10,-5.353580951690674,532.9949951171875,0.0,176032,0.0053535811603069305,5500,-5.747190952301025,2754.32861328125,32,-5.752544403076172
11,-5.766427516937256,770.2117919921875,0.0,192032,0.005766427610069513,6000,-6.287280559539795,2866.7919921875,32,-6.293046951293945
11,-6.1457295417785645,1085.86767578125,0.0,208032,0.006145729683339596,6500,-6.468741416931152,2961.704833984375,32,-6.474887371063232
12,-6.565693378448486,1776.54931640625,0.0,224032,0.006565693765878677,7000,-6.814827919006348,3046.633056640625,32,-6.8213934898376465
13,-6.873983860015869,2346.942626953125,0.0,240032,0.006873984355479479,7500,-7.189241409301758,3123.97607421875,32,-7.196115493774414
14,-7.097602367401123,2832.81005859375,0.0,256032,0.0070976028218865395,8000,-7.228151798248291,3189.832763671875,32,-7.2352495193481445
